Proteins,Gene Symbol,Molecular Weight,Protein Grouping Ambiguity,Total Spectrum Count_hFT1-1,Total Spectrum Count_hFT1-2,Total Spectrum Count_hFT1-3,Exclusive Spectrum Count_hFT1-1,Exclusive Spectrum Count_hFT1-2,Exclusive Spectrum Count_hFT1-3,Total Unique Spectrum Count_hFT1-1,Total Unique Spectrum Count_hFT1-2,Total Unique Spectrum Count_hFT1-3,Exclusive Unique Spectrum Count_hFT1-1,Exclusive Unique Spectrum Count_hFT1-2,Exclusive Unique Spectrum Count_hFT1-3,Total Unique Peptide Count_hFT1-1,Total Unique Peptide Count_hFT1-2,Total Unique Peptide Count_hFT1-3,Exclusive Unique Peptide Count_hFT1-1,Exclusive Unique Peptide Count_hFT1-2,Exclusive Unique Peptide Count_hFT1-3,Protein Identification Probability_hFT1-1,Protein Identification Probability_hFT1-2,Protein Identification Probability_hFT1-3,Percent Coverage_hFT1-1,Percent Coverage_hFT1-2,Percent Coverage_hFT1-3,Percentage of Total Spectra_hFT1-1,Percentage of Total Spectra_hFT1-2,Percentage of Total Spectra_hFT1-3
Sialic acid synthase OS=Homo sapiens OX=9606 GN=NANS PE=1 SV=2,NANS,40 kDa,,4,3,2,4,3,2,3,2,2,3,2,2,2,2,2,2,2,2,100%,100%,100%,8.91%,8.91%,8.91%,0.01%,0.00%,0.00%
Serum amyloid P-component OS=Homo sapiens OX=9606 GN=APCS PE=1 SV=2,APCS,25 kDa,,7,3,3,7,3,3,6,3,2,6,3,2,5,3,2,5,3,2,100%,100%,100%,28.30%,17.00%,12.60%,0.01%,0.00%,0.00%
Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,ALB,69 kDa,,945,932,945,945,932,945,112,93,97,112,93,97,46,40,41,46,40,41,100%,100%,100%,62.20%,57.80%,58.90%,1.40%,1.40%,1.50%
Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2,SERPINH1,46 kDa,,27,20,19,27,20,19,12,7,10,12,7,10,7,6,6,7,6,6,100%,100%,100%,20.30%,20.10%,20.10%,0.04%,0.03%,0.03%
Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3,SERPINB6,43 kDa,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,100%,100%,100%,7.18%,7.18%,7.18%,0.00%,0.00%,0.00%
Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3,TF,77 kDa,,72,68,66,72,68,66,35,32,30,35,32,30,26,22,22,26,22,22,100%,100%,100%,42.10%,35.10%,34.40%,0.11%,0.11%,0.10%
Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV=3,PPP1CB,37 kDa,TRUE,4,1,0,2,1,0,2,1,0,1,1,0,2,1,0,1,1,0,100%,97%,69%,10.40%,4.89%,0.00%,0.01%,0.00%,0.00%
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R1A PE=1 SV=4,PPP2R1A,65 kDa,,4,1,2,4,1,2,3,1,1,3,1,1,2,1,1,2,1,1,100%,99%,99%,5.60%,2.21%,2.21%,0.01%,0.00%,0.00%
Serine/threonine-protein kinase Nek9 OS=Homo sapiens OX=9606 GN=NEK9 PE=1 SV=2,NEK9,107 kDa,,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,99%,27%,100%,1.94%,0.00%,3.27%,0.00%,0.00%,0.00%
Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1,SRSF7,27 kDa,,3,1,1,3,1,1,2,1,1,2,1,1,2,1,1,2,1,1,100%,99%,98%,10.90%,7.14%,7.14%,0.00%,0.00%,0.00%
Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1,SRSF3,19 kDa,,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,100%,100%,100%,15.90%,15.90%,15.90%,0.00%,0.00%,0.00%
Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=2,SRSF1,28 kDa,,11,11,8,11,11,8,6,6,4,6,6,4,5,5,4,5,5,4,100%,100%,100%,23.00%,23.00%,18.10%,0.02%,0.02%,0.01%
Septin-11 OS=Homo sapiens OX=9606 GN=SEPTIN11 PE=1 SV=3,SEPTIN11,49 kDa,TRUE,13,9,9,6,3,3,6,4,4,5,3,3,5,4,4,4,3,3,100%,100%,100%,14.00%,11.70%,11.70%,0.02%,0.01%,0.01%
Septin-10 OS=Homo sapiens OX=9606 GN=SEPTIN10 PE=1 SV=2,SEPTIN10,53 kDa,,3,3,5,3,3,5,2,2,2,2,2,2,2,2,2,2,2,2,100%,100%,100%,5.07%,5.07%,5.07%,0.00%,0.00%,0.01%
Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,SEPTIN9,65 kDa,,8,4,6,8,4,6,7,4,4,7,4,4,6,4,4,6,4,4,100%,100%,100%,12.60%,9.39%,10.20%,0.01%,0.01%,0.01%
Septin-14 OS=Homo sapiens OX=9606 GN=SEPTIN14 PE=1 SV=2,SEPTIN14,50 kDa,TRUE,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18%,0,0,2.08%,0,0,0.01%,0,0
Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1,SEPTIN2,41 kDa,,24,21,17,24,21,17,10,8,8,10,8,8,5,5,5,5,5,5,100%,100%,100%,21.90%,21.90%,21.90%,0.04%,0.03%,0.03%
Secreted frizzled-related protein 1 OS=Homo sapiens OX=9606 GN=SFRP1 PE=1 SV=1,SFRP1,35 kDa,,2,2,3,2,2,3,2,1,1,2,1,1,2,1,1,2,1,1,100%,100%,100%,8.92%,5.10%,5.10%,0.00%,0.00%,0.00%
Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Homo sapiens OX=9606 GN=ATP2A3 PE=1 SV=2,ATP2A3,114 kDa,TRUE,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,11%,0,0,3.16%,0,0,0.00%,0
Sarcolemmal membrane-associated protein OS=Homo sapiens OX=9606 GN=SLMAP PE=1 SV=1,SLMAP,95 kDa,,6,6,2,6,6,2,5,5,2,5,5,2,4,4,2,4,4,2,100%,100%,100%,5.43%,5.43%,2.66%,0.01%,0.01%,0.00%
SH3 and PX domain-containing protein 2A OS=Homo sapiens OX=9606 GN=SH3PXD2A PE=1 SV=1,SH3PXD2A,125 kDa,TRUE,3,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,94%,96%,92%,1.50%,0.79%,0.79%,0.00%,0.00%,0.00%
RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3,RUVBL2,51 kDa,,3,3,2,3,3,2,2,2,1,2,2,1,1,2,1,1,2,1,100%,100%,100%,2.38%,4.10%,2.38%,0.00%,0.00%,0.00%
RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,RUVBL1,50 kDa,,4,1,0,4,1,0,3,1,0,3,1,0,3,1,0,3,1,0,100%,99%,0,7.89%,2.41%,0,0.01%,0.00%,0
Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5,RRBP1,152 kDa,,13,10,11,13,10,11,11,7,9,11,7,9,10,7,8,10,7,8,100%,100%,100%,10.90%,8.16%,8.94%,0.02%,0.02%,0.02%
Ribose-phosphate pyrophosphokinase 2 OS=Homo sapiens OX=9606 GN=PRPS2 PE=1 SV=2,PRPS2,35 kDa,,3,2,2,3,2,2,2,1,1,2,1,1,2,1,1,2,1,1,100%,99%,99%,10.10%,3.77%,3.77%,0.00%,0.00%,0.00%
Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2,RNH1,50 kDa,,33,29,26,33,29,26,18,14,14,18,14,14,11,8,9,11,8,9,100%,100%,100%,38.60%,25.40%,30.20%,0.05%,0.05%,0.04%
Rho-related GTP-binding protein RhoG OS=Homo sapiens OX=9606 GN=RHOG PE=1 SV=1,RHOG,21 kDa,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,100%,100%,100%,9.95%,16.80%,16.80%,0.00%,0.00%,0.00%
Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1,RHOA,22 kDa,TRUE,5,4,3,1,1,1,4,3,2,1,1,1,3,2,2,1,1,1,100%,100%,100%,20.70%,15.00%,15.00%,0.01%,0.01%,0.00%
Rho-associated protein kinase 2 OS=Homo sapiens OX=9606 GN=ROCK2 PE=1 SV=4,ROCK2,161 kDa,TRUE,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,100%,62%,14%,1.73%,0.00%,0.00%,0.00%,0.00%,0.00%
Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1,ARHGAP1,50 kDa,,4,4,3,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,100%,100%,100%,4.56%,4.56%,4.56%,0.01%,0.01%,0.00%
Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3,ARHGDIA,23 kDa,,8,8,4,8,8,4,7,4,3,7,4,3,4,3,2,4,3,2,100%,100%,100%,22.50%,15.70%,15.70%,0.01%,0.01%,0.01%
Retinal dehydrogenase 1 OS=Homo sapiens OX=9606 GN=ALDH1A1 PE=1 SV=2,ALDH1A1,55 kDa,TRUE,8,5,7,6,5,7,6,3,3,5,3,3,5,3,3,4,3,3,100%,100%,100%,11.60%,7.58%,7.58%,0.01%,0.01%,0.01%
Reticulon-4 OS=Homo sapiens OX=9606 GN=RTN4 PE=1 SV=2,RTN4,130 kDa,,9,4,4,9,4,4,4,2,2,4,2,2,2,2,2,2,2,2,100%,100%,100%,3.94%,3.94%,3.94%,0.01%,0.01%,0.01%
Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3,RACK1,35 kDa,,9,4,4,9,4,4,5,4,4,5,4,4,5,4,3,5,4,3,100%,100%,100%,26.50%,12.00%,9.15%,0.01%,0.01%,0.01%
Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1,RAP1B,21 kDa,,4,5,4,4,5,4,2,2,2,2,2,2,2,2,2,2,2,2,100%,100%,100%,13.00%,13.00%,13.00%,0.01%,0.01%,0.01%
Ras-related protein Rab-11A OS=Homo sapiens OX=9606 GN=RAB11A PE=1 SV=3,RAB11A,24 kDa,,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,100%,99%,23%,9.72%,5.09%,0.00%,0.00%,0.00%,0.00%
Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1,RAB7A,23 kDa,,4,3,3,4,3,3,4,2,2,4,2,2,3,2,2,3,2,2,100%,100%,100%,16.90%,10.10%,11.60%,0.01%,0.00%,0.00%
Ras-related protein Rab-2A OS=Homo sapiens OX=9606 GN=RAB2A PE=1 SV=1,RAB2A,24 kDa,,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,99%,100%,100%,6.60%,14.20%,14.20%,0.00%,0.00%,0.00%
Ras-related protein Rab-43 OS=Homo sapiens OX=9606 GN=RAB43 PE=1 SV=1,RAB43,23 kDa,TRUE,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,10%,0,47%,5.19%,0,5.19%,0.00%,0,0.00%
Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens OX=9606 GN=RAC2 PE=1 SV=1,RAC2,21 kDa,TRUE,6,4,3,0,0,0,3,3,3,0,0,0,2,2,2,0,0,0,40%,13%,21%,9.38%,9.38%,9.38%,0.01%,0.01%,0.00%
Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,IQGAP1,189 kDa,,17,12,10,17,12,10,12,9,6,12,9,6,11,9,5,11,9,5,100%,100%,100%,10.30%,8.93%,5.49%,0.03%,0.02%,0.02%
Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2,GDI2,51 kDa,TRUE,16,12,11,11,10,10,11,7,8,7,6,7,7,6,5,4,5,4,100%,100%,100%,22.50%,16.90%,13.90%,0.02%,0.02%,0.02%
RNA-splicing ligase RtcB homolog OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1,RTCB,55 kDa,,4,2,2,4,2,2,3,1,2,3,1,2,3,1,1,3,1,1,100%,99%,100%,7.33%,2.18%,2.18%,0.01%,0.00%,0.00%
"RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3",RBMX,42 kDa,TRUE,4,0,1,1,0,0,4,0,1,1,0,0,3,0,1,1,0,0,100%,76%,84%,11.00%,0.00%,3.32%,0.01%,0.00%,0.00%
Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,PKM,58 kDa,TRUE,61,49,41,60,49,41,26,19,17,25,19,17,15,11,10,14,11,10,100%,100%,100%,31.50%,22.20%,23.00%,0.09%,0.08%,0.07%
Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2,F2,70 kDa,,4,4,3,4,4,3,4,2,2,4,2,2,3,2,2,3,2,2,100%,100%,100%,5.31%,3.70%,3.70%,0.01%,0.01%,0.00%
Protein/nucleic acid deglycase DJ-1 OS=Homo sapiens OX=9606 GN=PARK7 PE=1 SV=2,PARK7,20 kDa,,14,9,11,14,9,11,7,7,9,7,7,9,4,4,4,4,4,4,100%,100%,100%,38.10%,38.10%,38.10%,0.02%,0.01%,0.02%
Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2,TGM2,77 kDa,,3,2,3,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,100%,100%,100%,4.08%,4.08%,4.08%,0.00%,0.00%,0.00%
Protein transport protein Sec31A OS=Homo sapiens OX=9606 GN=SEC31A PE=1 SV=3,SEC31A,133 kDa,,6,4,3,6,4,3,4,3,2,4,3,2,3,3,2,3,3,2,100%,100%,100%,3.44%,3.44%,1.89%,0.01%,0.01%,0.00%
Protein transport protein Sec23B OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=2,SEC23B,86 kDa,TRUE,0,1,2,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,7%,6%,0,1.56%,1.56%,0,0.00%,0.00%
Protein piccolo OS=Homo sapiens OX=9606 GN=PCLO PE=1 SV=5,PCLO,561 kDa,TRUE,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,100%,100%,100%,0.00%,0.00%,0.41%,0.00%,0.00%,0.00%
Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1,PPP1R12A,115 kDa,,5,2,2,5,2,2,4,1,1,4,1,1,4,1,1,4,1,1,100%,99%,99%,5.15%,0.97%,0.97%,0.01%,0.00%,0.00%
Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3,P4HB,57 kDa,,12,8,10,12,8,10,8,7,6,8,7,6,7,6,6,7,6,6,100%,100%,100%,16.50%,15.60%,13.00%,0.02%,0.01%,0.02%
Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1,PDIA6,48 kDa,,13,13,10,13,13,10,6,7,6,6,7,6,4,5,5,4,5,5,100%,100%,100%,13.00%,15.70%,15.70%,0.02%,0.02%,0.02%
Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2,PDIA4,73 kDa,,14,3,9,13,3,9,9,2,6,9,2,6,7,2,6,7,2,6,100%,100%,100%,14.30%,3.57%,12.60%,0.02%,0.00%,0.01%
Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4,PDIA3,57 kDa,,25,21,19,25,21,19,16,10,13,16,10,13,12,9,11,12,9,11,100%,100%,100%,28.30%,24.20%,26.50%,0.04%,0.03%,0.03%
Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=3,PRMT1,42 kDa,,4,2,2,4,2,2,3,1,1,3,1,1,3,1,1,3,1,1,100%,100%,99%,10.80%,4.04%,4.04%,0.01%,0.00%,0.00%
Protein PML OS=Homo sapiens OX=9606 GN=PML PE=1 SV=3,PML,98 kDa,,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,100%,8%,0,2.49%,0.00%,0,0.00%,0.00%,0
Protein LYRIC OS=Homo sapiens OX=9606 GN=MTDH PE=1 SV=2,MTDH,64 kDa,,3,1,1,3,1,1,3,1,1,3,1,1,2,1,1,2,1,1,100%,99%,91%,5.84%,2.23%,2.23%,0.00%,0.00%,0.00%
Protein AMBP OS=Homo sapiens OX=9606 GN=AMBP PE=1 SV=1,AMBP,39 kDa,,5,4,2,5,4,2,3,3,2,3,3,2,3,3,2,3,3,2,100%,100%,100%,9.66%,9.66%,5.40%,0.01%,0.01%,0.00%
Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1,PSMA6,27 kDa,,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,100%,100%,100%,13.80%,5.28%,5.28%,0.00%,0.00%,0.00%
Proteasome activator complex subunit 1 OS=Homo sapiens OX=9606 GN=PSME1 PE=1 SV=1,PSME1,29 kDa,,7,3,4,7,3,4,3,3,3,3,3,3,3,3,2,3,3,2,100%,100%,100%,14.50%,14.50%,9.24%,0.01%,0.00%,0.01%
Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens OX=9606 GN=LRP1 PE=1 SV=2,LRP1,505 kDa,,11,5,7,11,5,7,10,5,7,10,5,7,9,5,7,9,5,7,100%,100%,100%,2.53%,1.52%,2.07%,0.02%,0.01%,0.01%
Prolargin OS=Homo sapiens OX=9606 GN=PRELP PE=1 SV=1,PRELP,44 kDa,,8,9,5,8,9,5,3,3,2,3,3,2,2,3,2,2,3,2,100%,100%,100%,7.59%,9.69%,7.59%,0.01%,0.01%,0.01%
Programmed cell death protein 4 OS=Homo sapiens OX=9606 GN=PDCD4 PE=1 SV=2,PDCD4,52 kDa,,2,2,3,2,2,3,2,1,2,2,1,2,2,1,2,2,1,2,100%,99%,100%,5.76%,2.35%,5.76%,0.00%,0.00%,0.00%
Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP PE=1 SV=1,PDCD6IP,96 kDa,,8,7,6,8,7,6,6,4,5,6,4,5,6,4,4,6,4,4,100%,100%,100%,7.83%,5.30%,5.30%,0.01%,0.01%,0.01%
Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2,PFN1,15 kDa,,30,27,29,30,27,29,8,10,8,8,10,8,5,5,5,5,5,5,100%,100%,100%,50.00%,50.00%,50.00%,0.04%,0.04%,0.05%
Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,DDX17,80 kDa,TRUE,9,8,5,9,7,4,7,5,4,7,4,3,5,5,4,5,4,3,100%,100%,100%,8.23%,8.37%,6.31%,0.01%,0.01%,0.01%
Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,LMNA,74 kDa,TRUE,153,146,147,151,144,145,71,62,64,70,61,63,40,33,36,39,32,35,100%,100%,100%,53.60%,49.10%,51.40%,0.22%,0.23%,0.23%
Pre-mRNA-processing factor 19 OS=Homo sapiens OX=9606 GN=PRPF19 PE=1 SV=1,PRPF19,55 kDa,,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,100%,100%,100%,4.76%,5.56%,5.56%,0.00%,0.00%,0.00%
Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1,PTBP1,57 kDa,,13,2,2,13,2,2,7,1,2,7,1,2,3,1,2,3,1,2,100%,100%,100%,9.60%,3.01%,7.34%,0.02%,0.00%,0.00%
Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1,PABPC4,71 kDa,TRUE,4,2,4,3,2,2,3,2,4,2,2,2,3,2,4,2,2,2,100%,100%,100%,5.90%,3.57%,8.54%,0.01%,0.00%,0.01%
Polyadenylate-binding protein 3 OS=Homo sapiens OX=9606 GN=PABPC3 PE=1 SV=2,PABPC3,70 kDa,TRUE,5,2,3,0,0,0,4,1,2,0,0,0,4,1,2,0,0,0,73%,25%,20%,7.29%,1.74%,4.12%,0.01%,0.00%,0.00%
Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1,PCBP2,39 kDa,TRUE,5,7,6,1,2,2,4,4,4,1,1,1,3,3,3,1,1,1,100%,100%,100%,12.30%,12.30%,12.30%,0.01%,0.01%,0.01%
Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,PARP1,113 kDa,TRUE,3,3,1,3,3,1,2,3,1,2,3,1,2,3,1,2,3,1,100%,100%,100%,2.37%,3.85%,1.08%,0.00%,0.00%,0.00%
Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,PLEC,532 kDa,TRUE,110,81,86,109,79,85,69,53,53,68,52,52,52,41,42,51,40,41,100%,100%,100%,14.10%,11.20%,11.30%,0.16%,0.13%,0.14%
Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4,PLS3,71 kDa,TRUE,6,3,4,3,2,2,4,2,2,1,1,1,3,2,2,1,1,1,100%,100%,100%,6.35%,4.29%,4.29%,0.01%,0.00%,0.01%
Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6,LCP1,70 kDa,TRUE,3,1,2,0,0,0,3,1,1,0,0,0,2,1,1,0,0,0,93%,21%,92%,4.15%,2.07%,2.07%,0.00%,0.00%,0.00%
Plasminogen OS=Homo sapiens OX=9606 GN=PLG PE=1 SV=2,PLG,91 kDa,,19,10,11,19,10,11,17,9,10,17,9,10,10,8,8,10,8,8,100%,100%,100%,19.10%,17.80%,19.90%,0.03%,0.02%,0.02%
Pigment epithelium-derived factor OS=Homo sapiens OX=9606 GN=SERPINF1 PE=1 SV=4,SERPINF1,46 kDa,,7,6,6,7,6,6,6,5,5,6,5,5,4,5,5,4,5,5,100%,100%,100%,14.80%,18.70%,18.70%,0.01%,0.01%,0.01%
Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2,PGAM1,29 kDa,,4,4,3,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,100%,100%,100%,8.27%,8.27%,8.27%,0.01%,0.01%,0.00%
Phosphoglycerate kinase 2 OS=Homo sapiens OX=9606 GN=PGK2 PE=1 SV=3,PGK2,45 kDa,TRUE,7,6,4,1,0,0,5,4,3,1,0,0,4,3,2,1,0,0,92%,10%,7%,13.90%,9.83%,5.52%,0.01%,0.01%,0.01%
Phosphoglucomutase-like protein 5 OS=Homo sapiens OX=9606 GN=PGM5 PE=1 SV=2,PGM5,62 kDa,,10,12,10,10,12,10,7,9,6,7,9,6,5,5,5,5,5,5,100%,100%,100%,9.52%,9.52%,9.52%,0.02%,0.02%,0.02%
Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=3,PGM1,61 kDa,,14,3,6,14,3,6,10,2,3,10,2,3,8,2,3,8,2,3,100%,100%,100%,18.50%,4.80%,7.47%,0.02%,0.00%,0.01%
Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens OX=9606 GN=PICALM PE=1 SV=2,PICALM,71 kDa,,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,2,0,0,100%,0,0,6.13%,0,0,0.00%,0,0
Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PEBP1 PE=1 SV=3,PEBP1,21 kDa,,20,11,11,20,11,11,14,7,9,14,7,9,6,5,6,6,5,6,100%,100%,100%,44.40%,40.10%,44.40%,0.03%,0.02%,0.02%
Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3,PRDX6,25 kDa,,15,12,12,15,12,12,6,7,5,6,7,5,4,4,4,4,4,4,100%,100%,100%,24.60%,24.60%,24.60%,0.02%,0.02%,0.02%
"Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4",PRDX5,22 kDa,,2,1,4,2,1,4,2,1,4,2,1,4,2,1,4,2,1,4,100%,100%,100%,15.90%,5.14%,31.80%,0.00%,0.00%,0.01%
Peroxiredoxin-4 OS=Homo sapiens OX=9606 GN=PRDX4 PE=1 SV=1,PRDX4,31 kDa,TRUE,11,8,9,7,5,6,4,4,4,3,3,3,3,3,3,2,2,2,100%,100%,100%,10.70%,10.70%,10.70%,0.02%,0.01%,0.01%
Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5,PRDX2,22 kDa,TRUE,17,15,13,7,7,6,9,5,5,4,2,2,5,3,3,4,2,2,100%,100%,100%,27.80%,14.60%,14.60%,0.03%,0.02%,0.02%
Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,PRDX1,22 kDa,TRUE,33,35,33,19,24,23,15,16,15,9,12,11,10,9,9,8,7,7,100%,100%,100%,48.20%,43.70%,43.70%,0.05%,0.05%,0.05%
Peroxidasin homolog OS=Homo sapiens OX=9606 GN=PXDN PE=1 SV=2,PXDN,165 kDa,,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,100%,93%,0,2.03%,1.08%,0,0.00%,0.00%,0
Perilipin-3 OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=3,PLIN3,47 kDa,,11,8,8,11,8,8,7,6,5,7,6,5,6,6,5,6,6,5,100%,100%,100%,21.70%,21.70%,18.00%,0.02%,0.01%,0.01%
Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2,PPIB,24 kDa,,12,9,8,12,9,8,7,5,5,7,5,5,5,4,3,5,4,3,100%,100%,100%,28.20%,21.80%,17.60%,0.02%,0.01%,0.01%
Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2,PPIA,18 kDa,,22,22,19,22,22,19,10,10,9,10,10,9,7,7,7,7,7,7,100%,100%,100%,50.90%,50.90%,50.30%,0.03%,0.03%,0.03%
Palladin OS=Homo sapiens OX=9606 GN=PALLD PE=1 SV=3,PALLD,151 kDa,TRUE,31,27,24,29,27,24,19,15,13,17,15,13,15,13,11,14,13,11,100%,100%,100%,14.80%,13.20%,11.20%,0.05%,0.04%,0.04%
PRKC apoptosis WT1 regulator protein OS=Homo sapiens OX=9606 GN=PAWR PE=1 SV=1,PAWR,37 kDa,,8,3,4,8,3,4,5,3,4,5,3,4,5,3,3,5,3,3,100%,100%,100%,21.50%,16.80%,16.80%,0.01%,0.00%,0.01%
PDZ and LIM domain protein 7 OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1,PDLIM7,50 kDa,,22,20,15,22,20,15,11,8,6,11,8,6,9,7,6,9,7,6,100%,100%,100%,28.00%,21.90%,15.10%,0.03%,0.03%,0.02%
